questionid,answer,value
1,the Constitution,TRUE
1,the Articles,FALSE
1,the Declaration of Independence,FALSE
1,the Articles of Confederation,FALSE
2,sets up the government,FALSE
2,defines the government,FALSE
2,protects basic rights of Americans,FALSE
2,All of the above,TRUE
3,We the People,TRUE
3,We the Freedom,FALSE
4,a change (to the Constitution),FALSE
4,an addition (to the Constitution),FALSE
4,an replacement (to the Constitution),FALSE
4,A and B,FALSE
5,the Bill of Rights,TRUE
5,the Bill of Duty,FALSE
5,the Bill of Utilities,FALSE
6,speech,TRUE
6,work,FALSE
6,petition the government,TRUE
6,assembly,TRUE
6,press,TRUE
6,religion,TRUE
7,twenty-seven (27),TRUE
7,seventy-two (72),FALSE
7,twenty-six (26),FALSE
8,announced our independence (from Great Britain),TRUE
8,declared our independence (from Great Britain),TRUE
8,said that the United States was won the war (with Great Britain),FALSE
8,said that the United States is free (from Great Britain),TRUE
8,All of the above,FALSE
9,life,TRUE
9,pursuit of happiness,TRUE
9,liberty,TRUE
9,love,FALSE
10,"You can practice any religion, or not practice a religion.",TRUE
10,"You can't practice any religion, or not practice a religion.",FALSE
11,capitalist economy,FALSE
11,market economy,FALSE
11,A and B,TRUE
12,Everyone must follow the law,FALSE
12,Government must obey the law. ,FALSE
12,Leaders must obey the law.,FALSE
12,No one is above the law.,FALSE
12,All of the above,TRUE
13,Congress,TRUE
13,judicial,TRUE
13,legislative,TRUE
13,the Constitution,FALSE
13,the courts,TRUE
13,executive,TRUE
13,President,TRUE
14,"checks and balances",FALSE
14,separation of powers,FALSE
14,All of the above,TRUE
15,the Vice President,FALSE
15,the President,TRUE
16,Congress,TRUE
16,the President,FALSE
16,(U.S. or national) legislature,TRUE
16,Senate and House (of Representatives),TRUE
17,the Senate and House (of Representatives),TRUE
17,the Senate and the Speaker of the House (of Representatives),FALSE
18,one hundred (100),TRUE
18,ninety (90),FALSE
18,fifty (50),FALSE
19,four (4),FALSE
19,six (6),TRUE
19,eight (8),FALSE
20,I know,TRUE
20,I don't know,FALSE
21,four hundred thirty-four (434),FALSE
21,four hundred thirty-five (435),TRUE
21,four hundred fifty-five (455),FALSE
22,six (6),FALSE
22,four (4),FALSE
22,two (2),TRUE
23,I know,TRUE
23,I don't know,FALSE
24,all people of the state,TRUE
24,all people of the city,FALSE
25,all people of the nation,FALSE
26,(because of) the state’s population,FALSE
26,(because) they have more people,FALSE
26,(because) some states have more people,FALSE
26,All of the above,TRUE
27,four (4),TRUE
27,six (6),FALSE
27,eight (8),FALSE
28,December,FALSE
28,November,TRUE
28,October,FALSE
29,I know,TRUE
29,I don't know,FALSE
30,I know,TRUE
30,I don't know,FALSE
31,the Vice President,TRUE
31,the Spkeaker of the House,FALSE
32,the Spkeaker of the House,TRUE
32,the General,FALSE
33,the President,TRUE
33,the Govenor,FALSE
34,the President,TRUE
34,the Vice President,FALSE
35,advises the President,TRUE
35,helps the President,FALSE
35,supports the President,FALSE
36,Secretary of Agriculture,TRUE
36,Secretary of Commerce,TRUE
36,Secretary of Engineer,FALSE
36,Secretary of Defense,TRUE
36,Secretary of Education,TRUE
36,Secretary of City,FALSE
36,Secretary of Energy,TRUE
36,Secretary of Health and Human Services,TRUE
36,Secretary of Enviroment,FALSE
36,Secretary of Homeland Security,TRUE
36,Secretary of Housing and Urban Development,TRUE
36,Secretary of the Interior,TRUE
36,Secretary of Labor,TRUE
36,Secretary of National Park,TRUE
36,Secretary of State,TRUE
36,Secretary of Transportation,TRUE
36,Secretary of the Treasury,TRUE
36,Secretary of Veterans Affairs,TRUE
36,Governor,TRUE
36,Attorney General,FALSE
36,The Courts,TRUE
36,Vice President,FALSE
37,reviews laws,TRUE
37,explains laws,FALSE
37,resolves disputes (disagreements),FALSE
37,decides if a law goes against the Constitution,FALSE
37,All of the above,TRUE
38,the Supreme Court,TRUE
38,the District Courts,FALSE
39,eight (8),FALSE
39,nine (9),TRUE
40,"John Robert (John G. Robert, Jr.)",TRUE
40,"Jonh Roben (John G, Roben, Sr.)",FALSE
41,to create an army,TRUE
41,to make treaties,TRUE
41,to declare war,TRUE
41,to print money,TRUE
41,to make food,FALSE
42,provide schooling and education,TRUE
42,approve zoning and land use,TRUE
42,declare war,FALSE
42,provide protection (police) ,TRUE
42,provide safety (fire departments),TRUE
42,give a driver’s license,TRUE
43,Gavin Newsom,TRUE
43,Gavin Newman,FALSE
44,Sacramento,TRUE
44,Los Angeles,FALSE
45,Democratic and Republica,TRUE
45,Communist and Republica,FALSE
46,Relpublican Party,TRUE
46,Democratic Party,FALSE
47,Nancy Pelosi,TRUE
47,Nancie Peloxi,FALSE
48, Citizens eighteen (18) and older (can vote).,TRUE
48,Any citizen can vote.  (Women and men can vote.),TRUE
